Date,Open,High,Low,Close,Volume,Symbol
2023-03-07,22428.322265625,22527.41796875,22011.26171875,22219.76953125,22765452204,BTC-USD
2023-03-08,22216.44140625,22268.896484375,21708.05078125,21718.080078125,22536575684,BTC-USD
2023-03-09,21720.080078125,21802.716796875,20210.306640625,20363.021484375,30364664171,BTC-USD
2023-03-10,20367.001953125,20370.595703125,19628.25390625,20187.244140625,39578257695,BTC-USD
2023-03-11,20187.876953125,20792.525390625,20068.66015625,20632.41015625,30180288176,BTC-USD
2023-03-12,20628.029296875,22185.03125,20448.806640625,22163.94921875,29279035521,BTC-USD
2023-03-13,22156.40625,24550.837890625,21918.19921875,24197.533203125,49466362688,BTC-USD
2023-03-14,24201.765625,26514.716796875,24081.18359375,24746.07421875,54622230164,BTC-USD
2023-03-15,24770.92578125,25240.615234375,23964.91015625,24375.9609375,43655701450,BTC-USD
2023-03-16,24373.45703125,25190.326171875,24225.111328125,25052.7890625,33866061747,BTC-USD
2023-03-17,25055.123046875,27787.8125,24955.169921875,27423.9296875,50730261335,BTC-USD
2023-03-18,27448.1171875,27725.953125,26636.26171875,26965.87890625,35723036817,BTC-USD
2023-03-19,26969.50390625,28440.560546875,26907.716796875,28038.67578125,37769448859,BTC-USD
2023-03-20,28041.6015625,28527.724609375,27242.880859375,27767.236328125,44774027664,BTC-USD
2023-03-21,27768.392578125,28439.5625,27439.646484375,28175.81640625,36102192830,BTC-USD
2023-03-22,28158.720703125,28803.3359375,26759.99609375,27307.4375,33382021890,BTC-USD
2023-03-23,27301.95703125,28729.84375,27183.36328125,28333.97265625,24220433689,BTC-USD
2023-03-24,28324.111328125,28388.4375,27039.265625,27493.28515625,25980310960,BTC-USD
2023-03-25,27487.337890625,27791.826171875,27196.234375,27494.70703125,13383005987,BTC-USD
2023-03-26,27495.5234375,28178.14453125,27445.046875,27994.330078125,13878363192,BTC-USD
2023-03-27,27994.068359375,28037.92578125,26606.689453125,27139.888671875,18188895178,BTC-USD
2023-03-28,27132.888671875,27460.71875,26677.818359375,27268.130859375,17783600385,BTC-USD
2023-03-29,27267.03125,28619.54296875,27259.662109375,28348.44140625,20684945906,BTC-USD
2023-03-30,28350.140625,29159.90234375,27720.16015625,28033.5625,22435349951,BTC-USD
2023-03-31,28032.26171875,28639.896484375,27583.71484375,28478.484375,19001327598,BTC-USD
2023-04-01,28473.33203125,28802.45703125,28297.171875,28411.03515625,10876469901,BTC-USD
2023-04-02,28462.845703125,28518.958984375,27884.087890625,28199.30859375,12284641999,BTC-USD
2023-04-03,28183.080078125,28475.623046875,27276.720703125,27790.220703125,19556501327,BTC-USD
2023-04-04,27795.2734375,28433.7421875,27681.3046875,28168.08984375,15284538859,BTC-USD
2023-04-05,28169.7265625,28739.23828125,27843.763671875,28177.984375,17052315986,BTC-USD
2023-04-06,28175.2265625,28178.384765625,27738.759765625,28044.140625,13837809380,BTC-USD
2023-04-07,28038.966796875,28111.59375,27794.03125,27925.859375,10861680497,BTC-USD
2023-04-08,27920.513671875,28159.86328125,27883.38671875,27947.794921875,9373255556,BTC-USD
2023-04-09,27952.3671875,28532.830078125,27828.48046875,28333.05078125,12175322951,BTC-USD
2023-04-10,28336.02734375,29771.46484375,28189.271484375,29652.98046875,19282400094,BTC-USD
2023-04-11,29653.6796875,30509.083984375,29609.30078125,30235.05859375,20121259843,BTC-USD
2023-04-12,30231.58203125,30462.48046875,29725.57421875,30139.052734375,18651929926,BTC-USD
2023-04-13,29892.740234375,30539.845703125,29878.623046875,30399.06640625,17487721001,BTC-USD
2023-04-14,30409.5625,31005.607421875,30044.498046875,30485.69921875,22659995079,BTC-USD
2023-04-15,30490.75,30601.740234375,30245.8828125,30318.49609375,11940685378,BTC-USD
2023-04-16,30315.9765625,30555.537109375,30157.83203125,30315.35546875,12854816417,BTC-USD
2023-04-17,30317.146484375,30319.197265625,29275.37109375,29445.044921875,17872186762,BTC-USD
2023-04-18,29449.091796875,30470.302734375,29154.849609375,30397.552734375,19480529496,BTC-USD
2023-04-19,30394.1875,30411.0546875,28669.8984375,28822.6796875,24571565421,BTC-USD
2023-04-20,28823.68359375,29076.400390625,28037.2578125,28245.98828125,21340360360,BTC-USD
2023-04-21,28249.23046875,28349.96875,27177.365234375,27276.91015625,20759504330,BTC-USD
2023-04-22,27265.89453125,27872.142578125,27169.5703125,27817.5,13125734602,BTC-USD
2023-04-23,27816.14453125,27820.244140625,27400.314453125,27591.384765625,12785446832,BTC-USD
2023-04-24,27591.73046875,27979.982421875,27070.849609375,27525.33984375,17703288330,BTC-USD
2023-04-25,27514.873046875,28371.078125,27207.931640625,28307.59765625,17733373139,BTC-USD
2023-04-26,28300.05859375,29995.837890625,27324.548828125,28422.701171875,31854242019,BTC-USD
2023-04-27,28428.46484375,29871.546875,28402.88671875,29473.787109375,27153445027,BTC-USD
2023-04-28,29481.013671875,29572.791015625,28929.609375,29340.26171875,17544464887,BTC-USD
2023-04-29,29336.56640625,29452.455078125,29088.04296875,29248.48828125,10662634333,BTC-USD
2023-04-30,29245.515625,29952.029296875,29114.021484375,29268.806640625,14652199272,BTC-USD
2023-05-01,29227.103515625,29329.935546875,27680.79296875,28091.568359375,18655599976,BTC-USD
2023-05-02,28087.17578125,28881.298828125,27924.123046875,28680.537109375,16432924527,BTC-USD
2023-05-03,28680.494140625,29259.533203125,28178.388671875,29006.30859375,19122972518,BTC-USD
2023-05-04,29031.3046875,29353.185546875,28694.0390625,28847.7109375,15548678514,BTC-USD
2023-05-05,28851.48046875,29668.908203125,28845.509765625,29534.384765625,17936566518,BTC-USD
2023-05-06,29538.859375,29820.126953125,28468.966796875,28904.623046875,15913866714,BTC-USD
2023-05-07,28901.623046875,29157.517578125,28441.3671875,28454.978515625,11301355486,BTC-USD
2023-05-08,28450.45703125,28663.271484375,27310.134765625,27694.2734375,19122903752,BTC-USD
2023-05-09,27695.068359375,27821.400390625,27375.6015625,27658.775390625,14128593256,BTC-USD
2023-05-10,27654.63671875,28322.6875,26883.669921875,27621.755859375,20656025026,BTC-USD
2023-05-11,27621.0859375,27621.94140625,26781.826171875,27000.7890625,16724343943,BTC-USD
2023-05-12,26987.662109375,27055.646484375,25878.4296875,26804.990234375,19313599897,BTC-USD
2023-05-13,26807.76953125,27030.482421875,26710.873046875,26784.078125,9999171605,BTC-USD
2023-05-14,26788.974609375,27150.9765625,26661.35546875,26930.638671875,10014858959,BTC-USD
2023-05-15,26931.384765625,27646.34765625,26766.09765625,27192.693359375,14413231792,BTC-USD
2023-05-16,27171.513671875,27299.3046875,26878.947265625,27036.650390625,12732238816,BTC-USD
2023-05-17,27035.470703125,27465.927734375,26600.14453125,27398.802734375,15140006925,BTC-USD
2023-05-18,27401.650390625,27466.52734375,26415.1015625,26832.208984375,15222938600,BTC-USD
2023-05-19,26826.75390625,27128.619140625,26700.2109375,26890.12890625,11258983301,BTC-USD
