ds,yhat,yhat_lower,yhat_upper
2023-03-07,21973.426916300054,19059.60856160292,24862.76119614661
2023-03-08,22462.078335934053,19728.168590161404,25575.082687976304
2023-03-09,22605.66433012433,19879.094209808994,25536.577611975445
2023-03-10,22784.250231911625,19952.277587863602,25664.580100374158
2023-03-11,23056.895243539955,19979.99091898458,26069.30586775226
2023-03-12,23411.791279007655,20488.948369823644,26277.844120445967
2023-03-13,23961.462441864027,21162.694491733477,26827.463282297016
2023-03-14,24406.026995949247,21507.574816796878,27050.39867115728
2023-03-15,24894.678415583207,22044.910561683508,27946.37897997926
2023-03-16,25038.264409773063,21925.422423272936,28095.530832992627
2023-03-17,25216.85031156052,22234.757904984326,28304.617519975443
2023-03-18,25489.495323188803,22741.55888455725,28422.330388793944
2023-03-19,25844.391358656525,22909.203964897315,28678.64872929527
2023-03-20,26253.027426717646,23268.451014563183,28864.728965182647
2023-03-21,26556.556886006994,23632.83452402665,29240.683393202406
2023-03-22,26904.173210845234,24016.117728370067,29733.33007896597
2023-03-23,26906.72411023891,24056.945372331338,29902.253078029535
2023-03-24,26944.274917231105,23860.444266508955,29762.421784873994
2023-03-25,27075.884834063603,24222.752660236492,29786.95743900062
2023-03-26,27289.745774735788,24484.669952662818,30361.619589279486
2023-03-27,27698.38184279601,24841.675158169648,30659.719523331878
2023-03-28,28001.911302086133,25115.206243949557,30919.600273161297
2023-03-29,28349.527626924337,25409.777770624332,31367.269956224467
2023-03-30,28352.078526318932,25422.000561377314,31128.81830671331
2023-03-31,28266.985761518597,25455.70812695881,31089.459494008326
2023-04-01,28275.95210656059,25298.85669245871,31069.58775678472
2023-04-02,28367.169475441307,25397.912819691403,31025.843946290537
2023-04-03,28653.16197171099,25643.53787692942,31419.313129746166
2023-04-04,28834.04785921001,25856.02667929542,31657.087358021847
2023-04-05,29059.02061225701,26084.573182581633,31848.33407953973
2023-04-06,28938.92793986027,25921.1285599665,31925.935344687474
2023-04-07,28853.835175061027,25977.990615196803,31918.509379009083
2023-04-08,28862.80152010234,25902.03807839011,31687.873282877426
2023-04-09,28954.01888898301,25966.690032825172,31811.367340336867
2023-04-10,29240.011385252717,26177.27675632579,32347.483122886286
2023-04-11,29420.897272751834,26446.08195554716,32470.355625463955
2023-04-12,29512.8193212166,26650.729677966472,32348.77387639977
2023-04-13,29259.675944238046,26366.838362864557,32278.008316790932
2023-04-14,29041.53247485644,25957.10743563702,31885.5318362465
2023-04-15,28917.448115315674,26246.644085667886,31885.50758440479
2023-04-16,28875.61477961456,25987.476507393512,31864.864058904994
2023-04-17,29028.556571302255,26205.357756473044,31811.117341623063
2023-04-18,29076.39175421879,26209.50817074849,31914.82656142136
2023-04-19,29168.313802684002,26303.8593803855,32103.16939028303
2023-04-20,28915.170425705168,26117.30011787213,31985.7204598023
2023-04-21,28697.02695632403,25903.495017292797,31645.1920400892
2023-04-22,28572.942596783494,25474.60745529148,31404.544368340004
2023-04-23,28531.109261081663,25757.22012700327,31299.628630218394
2023-04-24,28684.051074991567,25745.915764342706,31795.07834902199
2023-04-25,28731.886280129518,25748.848440892467,31732.530435384288
2023-04-26,28823.8083508163,25906.354947950676,31584.195886401565
2023-04-27,28570.66499605883,25673.64923295607,31536.29439642604
2023-04-28,28352.52154889948,25346.029870701932,31257.661304707042
2023-04-29,28228.437211580203,25290.368142348463,31210.42437806001
2023-04-30,28186.603898100166,25336.880018458953,31229.685851168633
2023-05-01,28339.545712010087,25467.58503230605,31506.245982191875
2023-05-02,28387.380917148097,25536.768331165797,31386.682738270745
2023-05-03,28479.30298783472,25765.311747912598,31403.4428536137
2023-05-04,28226.159633078074,25318.080829988594,31358.91805160917
2023-05-05,28008.01609807836,25085.910021683107,30951.476638200842
2023-05-06,27883.931672920506,25047.544008850717,30825.821280253607
2023-05-07,27842.098271601528,24828.070425499765,30829.275369028303
2023-05-08,27995.039997672244,24946.922009931423,30770.90259436704
2023-05-09,28042.87511497108,25045.82261008305,30936.84912710666
2023-05-10,28134.797097818562,25368.072596008027,30954.0675590217
2023-05-11,27881.65365522261,24748.0469151388,30643.443761932478
2023-05-12,27663.51012022312,24952.690393193407,30410.482124742008
2023-05-13,27539.42569506521,24559.275405625194,30231.70154112234
2023-05-14,27497.592293746187,24385.689355876744,30327.506302971815
2023-05-15,27650.534019816332,24713.24754654421,30690.046141639436
2023-05-16,27698.369137115846,24725.143118066186,30671.064745149026
2023-05-17,27790.420491093435,24768.92401901593,30634.028190970963
2023-05-18,27537.40641962781,24343.79369506736,30337.616744817955
2023-05-19,27319.392255758932,24630.588323537097,30393.283914650296
2023-05-20,27195.43720173175,24428.56543332258,29902.490519771225
2023-05-21,27153.733171543336,24044.899673288797,29989.856388322296
2023-05-22,27306.80426874385,24410.752914303856,30144.6898721107
2023-05-23,27354.768757173762,24538.360421592246,30233.184246762758
2023-05-24,27446.820111151334,24704.152735412626,30388.317560075448
2023-05-25,27193.80603968553,24377.53870150707,30031.035107754247
2023-05-26,26975.791875817195,23887.597973553253,30051.50296435706
2023-05-27,26851.836821789628,23789.705942534507,29796.280854339857
2023-05-28,26810.132791600947,23948.717588733616,29713.19818062632
2023-05-29,26963.204228469203,24001.50365536827,29897.175584555276
2023-05-30,27011.1690565661,24289.981558287247,29953.183635084395
2023-05-31,27103.220750211778,24192.311300918256,30030.16633875969
2023-06-01,26850.207018413006,23923.697042043455,29785.345969561593
2023-06-02,26632.193194212337,23968.205698623322,29487.374245742867
2023-06-03,26508.238479852516,23770.72968917886,29596.969193761666
2023-06-04,26466.534789331516,23491.47195207792,29207.047994000626
2023-06-05,26619.606226199685,23673.854514698774,29692.697575536695
2023-06-06,26667.571054296524,23826.6854534172,29694.999830328663
2023-06-07,26759.622747942034,23930.095294636918,29605.757929356176
2023-06-08,26506.609016143484,23718.928672198468,29361.178339179845
2023-06-09,26495.92572398846,23615.263931121233,29480.933620838317
2023-06-10,26579.30154167457,23459.331502587345,29481.43673788673
2023-06-11,26744.928383199418,23710.93844796703,29701.50376512581
2023-06-12,27105.330352113968,24201.413800333063,29856.582246267746
2023-06-13,27360.625712256864,24427.714468436297,30416.98361958156
2023-06-14,27660.007937948165,24668.7077595513,30533.057922527227
2023-06-15,27614.32473819531,24963.720368042676,30635.619818539
2023-06-16,27603.64144604108,24715.042170961267,30480.783443791497
2023-06-17,27687.01726372651,24905.53427755266,30483.822509847945
2023-06-18,27852.644105251613,25028.073482248514,30687.467557688582
2023-06-19,28213.046074166406,25165.418924526435,31189.21979818237
2023-06-20,28468.341434309143,25803.40303163243,31244.76221213091
2023-06-21,28767.723784627808,25866.383732029604,31734.010619215158
2023-06-22,28722.04070950302,25844.538357568046,31636.73055295804
2023-06-23,28711.35754197555,25819.184587502124,31755.553539465654
2023-06-24,28794.73348428832,25604.98093764282,31507.72763246627
2023-06-25,28960.36045044077,26138.609617377853,31721.831440294467
2023-06-26,29320.762543982397,26545.45151690466,32174.35835505222
2023-06-27,29576.05802875258,26562.267237797652,32499.000321020398
2023-06-28,29875.440379071824,27099.16531730479,32842.46424434248
2023-06-29,29829.75730394686,27006.80105283282,32600.120391958204
2023-06-30,29819.074136419003,26725.319845278733,32701.248738630253
2023-07-01,29902.450078732316,26894.918272417686,32761.75237862691
2023-07-02,30068.077044884958,27215.701313480196,32924.37089423822
2023-07-03,30295.66292291567,27342.27082518475,33220.846836823854
2023-07-04,30418.142192174982,27481.48282265721,33453.42383546697
2023-07-05,30584.708326983236,27578.61238064264,33574.16359511928
2023-07-06,30406.209036347416,27462.02417443191,33334.44593032247
2023-07-07,30262.709653308957,27439.739362168355,33399.370693578894
2023-07-08,30213.26938011142,27190.973751128862,33135.897029887456
2023-07-09,30246.08013075338,27298.591188903,32965.74854927365
2023-07-10,30473.66600878389,27519.047882416657,33203.346026054656
2023-07-11,30596.145278043292,27633.75175502658,33620.67437812482
2023-07-12,30762.71141285135,27969.745599468333,33702.271344423796
2023-07-13,30584.212122216344,27760.709815893126,33692.72400943056
2023-07-14,30342.314702585496,27491.54685085269,33396.89778797381
2023-07-15,30194.47639279647,27160.47163270684,33234.77357587898
2023-07-16,30128.889106847233,27009.223905926712,33074.10065888408
2023-07-17,30258.07694828643,27371.672147231762,33065.45350813405
2023-07-18,30282.158180954335,27115.892580826974,33060.467983834096
2023-07-19,30350.32627917096,27457.290003450755,33359.79477336952
2023-07-20,30073.42895194431,27401.34217780907,33152.12301533944
2023-07-21,29831.53153231368,26816.3729672307,32805.300682958215
2023-07-22,29683.693222524886,26799.036420012926,32693.39618867254
2023-07-23,29618.105936574488,26815.182135373427,32492.07505097958
2023-07-24,29747.29377801396,26669.452387000012,32426.737417003947
2023-07-25,29771.37501068252,26905.61794036861,32630.24245443158
2023-07-26,29839.541873464696,26924.57502687616,32960.49785328472
2023-07-27,29562.643310803185,26586.890055302272,32635.185844537187
2023-07-28,29320.744655738305,26499.30272171354,32294.01965202544
2023-07-29,29172.905110515036,26332.02390961504,32042.03245642198
2023-07-30,29107.316589130685,26116.830650235348,31874.744731679904
2023-07-31,29236.503195135643,26380.38057576654,32246.09985179418
2023-08-01,29260.583192369726,26279.900670319657,32172.703456751555
2023-08-02,29328.750055151584,26394.20631164835,32238.201450171262
2023-08-03,29051.85149249044,26194.355701079254,32211.859614504912
2023-08-04,28809.952837425855,25924.772789457227,31856.552385370967
2023-08-05,28662.113292202204,25629.18520832147,31490.78898151184
2023-08-06,28596.524770818043,25609.44996862605,31458.624828215565
2023-08-07,28698.163391638624,25753.789215335215,31696.330911525918
2023-08-08,28694.695403688616,25760.58700248286,31489.359238044588
2023-08-09,28735.314281286453,25797.836711330645,31492.288499578382
2023-08-10,28430.86773344053,25494.529853374384,31378.19102437515
2023-08-11,28161.421093191937,25480.814639072887,31397.014827714753
2023-08-12,27986.033562784065,25260.302588076538,30886.959215071332
2023-08-13,27892.89705621598,25080.008332084646,30897.633402953623
2023-08-14,27994.53567703681,25121.23330597168,31073.12426974704
2023-08-15,27991.067689086038,24953.978541215733,30938.429311852567
2023-08-16,28031.68656668416,24976.031778767436,30939.436811671367
2023-08-17,27727.240018838103,24982.786553146027,30694.57927538008
2023-08-18,27457.793378589977,24512.11433910506,30416.450402071245
2023-08-19,27282.405866951067,24392.99419051053,30200.36821858729
2023-08-20,27189.269379151803,24492.441333570023,30053.567299774324
2023-08-21,27290.90801874183,24335.628004406302,30037.078183724923
2023-08-22,27287.440049560155,24512.04745185912,30233.39713995677
2023-08-23,27328.058945927263,24248.77413079473,30178.37319240931
2023-08-24,27023.612416850043,23984.402806421735,29885.66091531156
2023-08-25,26754.165795370554,23785.42734721338,29682.373892102976
2023-08-26,26578.778283732514,23519.41563123914,29529.325733964375
2023-08-27,26485.641795932657,23516.035011278687,29468.552977139607
2023-08-28,26587.28043552293,23691.897464314574,29486.831945281152
2023-08-29,26583.81246634132,23708.21743847972,29573.15292932245
2023-08-30,26683.814973211465,23787.395075294644,29542.08719376388
2023-08-31,26438.75205463803,23559.173908727127,29195.111964511856
2023-09-01,26228.689043661347,22967.591465367823,29410.432427252792
2023-09-02,26112.68514252645,23249.97404638551,29089.21005781394
2023-09-03,26078.932265229978,23062.300581065974,28953.307602876564
2023-09-04,26239.95451532336,23162.429302144843,29211.739527013327
2023-09-05,26295.870156644312,23263.578332183395,29167.35328290938
2023-09-06,26395.87266351487,23607.571788737816,29166.132906123297
2023-09-07,26150.80974494165,23262.279314229905,29167.407260593485
2023-09-08,25940.746733964937,22953.125834454004,29062.47214768194
2023-09-09,25824.742832829696,22862.893399085806,28687.82334683208
2023-09-10,25790.98995553346,22749.955394412107,28570.64815700522
2023-09-11,26043.442033544197,23133.768640018952,28940.0979181294
2023-09-12,26190.787502783944,23189.13670679628,29133.698341767104
2023-09-13,26382.219837572375,23500.501367986122,29244.669609030316
2023-09-14,26228.586746916902,23437.426359316174,29012.140923210027
2023-09-15,26109.953563858384,23082.43811816659,29391.36885529164
2023-09-16,26085.379490641448,23107.037551956426,28748.710501852824
2023-09-17,26143.056441263187,23213.96522704912,29094.000965862575
2023-09-18,26395.50851927417,23482.613936690905,29224.08870415774
2023-09-19,26542.85398851378,23644.251763937715,29478.008710816284
2023-09-20,26734.286323302156,23851.462950702433,29580.24561221204
2023-09-21,26580.65323264651,23717.546043710405,29448.441763255763
2023-09-22,26462.02004958852,23552.60421517786,29658.047339561585
2023-09-23,26437.446732334916,23544.767156397218,29233.2677289728
2023-09-24,26495.124438920917,23383.594072240943,29398.745851028267
2023-09-25,26747.57727289594,23946.381423711297,29512.364384891844
2023-09-26,26894.923498099623,23979.830002932296,29726.71051941538
2023-09-27,27086.356588852028,24195.71437899341,30097.771877125346
2023-09-28,26932.72425416018,24077.879363202508,29614.968372141597
2023-09-29,26814.09182706584,23791.83685343391,29633.126428244534
2023-09-30,26789.51850981307,23907.937471844412,29791.10128216306
2023-10-01,26847.19621639896,23794.763208566936,29704.789128484957
2023-10-02,27099.649050373893,23962.361577626914,30060.148848675337
2023-10-03,27246.99527557753,24363.7331378433,30171.719645936548
